texts,sentiment
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location",neutral
"In future , the plant will focus on the production of flange profiles for wind farm towers",neutral
"That 's what I go to bed worrying about every night , ' he said",negative
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January,neutral
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company",neutral
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki,negative
The company expects its net sales in the first half of 2008 to reach the previous year 's level,positive
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008,positive
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn",negative
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said",positive
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006",positive
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November",negative
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea@",negative
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01,positive
The deliveries are scheduled for the summer and autumn of 2008,neutral
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn",positive
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006,negative
Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal,positive
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008",negative
More than a third of the original participants dropped out due to nausea and other side effects,negative
"At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation",positive
"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+ñmeri , the Northernmost part of the Gulf of Bothnia",negative
"The Bank of +àland acquired the private banking business , asset management , and share brokerage business of Kaupthing Sweden in early 2009",neutral
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies",positive
"According to preliminary information by the Finnish Forest Industries Federation , imports of roundwood to Finland increased to about 20 million m3 in 2005 , representing an increase of 15 % from 2004",neutral
Sales by Seppala diminished by 6 per cent,negative
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4,neutral
This is the second successful effort for the financial investor this year,positive
"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry",positive
The authorization is in force for a period of 18 months from the resolution by the General Meeting,neutral
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008",negative
Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group,positive
"Following the acquisitions , Panostaja will establish a new business unit which will focus on heat treatment of metals",neutral
prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term,negative
"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets",neutral
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time",positive
"The other two sellers were the Finnish National Fund for R&D ( Sitra ) and Oras Invest Oy , which also sold half of their shareholdings , leaving them with 3.8 pct and 3.2 pct of the company respectively",neutral
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share",neutral
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision,neutral
"Its annual capacity is some 10,000 MW",neutral
"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear",positive
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU@",positive
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006",positive
"Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares",neutral
Ponsse will divide its sales and maintenance service network into six geographical areas,neutral
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily",negative
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009",negative
The unit is planned to be operational during the second half of 2007 and in full stream in 2008,neutral
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007,negative
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million,positive
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock",neutral
The deal will have no significant effect on the acquiring company 's equity ratio,neutral
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . '@,positive
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a",negative
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers",positive
The company will build altogether 130 new substations by the end of this year,neutral
"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur",neutral
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized",neutral
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200@",negative
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts",neutral
The markets expect Heineken to sell Hartwall as a whole or in parts,neutral
Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors,neutral
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA",positive
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom",positive
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group",neutral
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005",negative
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units",positive
"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2@",negative
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively,neutral
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007,negative
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry",positive
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008,positive
"Exports accounted for 65.4 % of net sales , representing an all time record for the company",positive
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover",negative
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007,negative
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels,neutral
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products",positive
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010,neutral
The situation of coated magazine printing paper will continue to be weak,negative
impact on the revenue,negative
Nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs,neutral
High winds also toppled three semi-trailers on I-15 north of Barstow,neutral
"One can also apply for jobs directly from the iPad , select which CV to attach and which covering letter is most appropriate for each position",neutral
Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005,negative
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn,negative
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready,negative
Aspo 's Group structure and business operations are continually developed without any predefined schedules,neutral
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel",negative
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 )@,positive
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion,positive
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry,positive
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland,neutral
"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004",positive
It is a disappointment to see the plan folded,negative
The repurchases shall decrease the distributable capital and reserves,negative
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added",positive
Possible personnel reductions concern approximately 104 people,negative
"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains",negative
"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008",neutral
In 2007 Etteplan reported a turnover of EUR125 .2 m,neutral
Revenues at the same time grew 14 percent to 43 million euros,positive
"Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum",neutral
The air traffic of Finland has been in stoppage since then,negative
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said",negative
"HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements",positive
Efficiency programs totalling 100 million euros are under way in Finnair,positive
The indexes include the top companies that are committed to sustainable development,neutral
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008",negative
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn,negative
"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR",neutral
"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping",neutral
The bank sees a potential for Getinge share to rise,positive
"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks",positive
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier,positive
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur",positive
"8,600 m , and at the time of investment it is fully leased to several tenants",neutral
The company 's market share is continued to increase further,positive
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions",neutral
"In the end of 2006 , the number of outlets will rise to 60-70",positive
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales,negative
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops,negative
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT,negative
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion",negative
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04",positive
"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services",neutral
prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term,negative
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s",positive
Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia,neutral
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries",neutral
Return on capital employed ROCE was a,negative
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003,negative
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries",neutral
EBIT margin was up from 1.4 % to 5.1 %,positive
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007,positive
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year",positive
growth for the Baltic countries in 2011,positive
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres,negative
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006,positive
"Operating profit for the 12-month period decreased from EUR9 .6 m while net sales increased from EUR69 .0 m , as compared to 2005",neutral
Metso said it has won an order worth around 40 mln eur to supply a kraftliner board machine to China 's Lee & Man Paper Co.,positive
"Currently Glaston employs approximately 1,500 persons",neutral
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka",positive
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased,positive
Valga Lihatoostus markets its products under the Maks & Moorits trademark,neutral
"Following the move , Stora Enso holding in NewPage will remain unchanged",neutral
This is the first time Finnair has been awarded an agreement with the UK government,positive
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL,positive
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share,neutral
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008",negative
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42,negative
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards,positive
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier",negative
Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers,neutral
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters",positive
"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights",neutral
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased,positive
Net sales fell by 5 % from the previous accounting period,negative
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council",neutral
The training modules aim at strengthening the public accounting abilities and fulfilling communal project management,positive
A total of 140 jobs will be reduced at the Raahe Steel Works,negative
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera@",positive
"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago",positive
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009",positive
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers,negative
You are warmly welcome !@,neutral
Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process,positive
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005",negative
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before,negative
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009",negative
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008",negative
"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular",positive
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland,positive
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years",negative
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies",negative
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,positive
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS,positive
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s",positive
"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular",positive
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month",negative
"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet",negative
"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009",neutral
,negative
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday",neutral
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum",positive
CapMan made its initial investment in OneMed in June 2006,neutral
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009",positive
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness",neutral
"Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height",neutral
"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty",neutral
YIT Construction and the town of Riihim+ñki have signed a lease contract whereby the town will occupy the Travel Centre office facilities,positive
"EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009",negative
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11",negative
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010,neutral
Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates,negative
EUR 0.83 mn in the corresponding period in 2008,positive
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation",negative
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said",positive
"Meanwhile , minority shareholders , expecting TeliaSonera to retain the bid , sell shares now",neutral
The company did not disclose the price of the acquisition,neutral
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier,negative
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers",negative
"Cash flow from operations totalled EUR 7.4 mn , compared to a",negative
"Also , it is bringing in `` the right kind of people '' to upgrade its human resources",positive
The company reiterates its outlook for 2009,neutral
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments,negative
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006,negative
The Board of Directors was authorized to decide on other terms of the share issue,neutral
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . ''@,negative
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009",positive
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model,neutral
"SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday",positive
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m",negative
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd.,neutral
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005,positive
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn",negative
Repeats sees 2008 EBITA above 18 pct of sales,positive
"At the moment , there are approximately 20 Vianor sales offices in Russia",neutral
"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels",neutral
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008",negative
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world",positive
"If needed , she provides also further information on ferry connections and hotels",neutral
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year,negative
"In January-September 2007 , operating profit totaled EUR 20.5 mn",neutral
in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205,negative
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009",positive
Under the agreement Ponsse will provide forest machine maintenance services to Stora Enso 's Russian wood procurement operations,neutral
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year",negative
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 %,positive
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008,negative
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009",neutral
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant,positive
"According to the company , the lay-offs will be temporary",neutral
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation",negative
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007,negative
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team",neutral
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007",positive
"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear",neutral
"The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said",neutral
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct",positive
"Tecnomen , headquartered in Espoo , Finland , develops messaging and charging solutions for telecomms operators and service providers worldwide",neutral
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009",negative
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa",positive
The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month,neutral
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009,positive
Net profit was 35.5 mln compared with 29.8 mln,positive
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems",neutral
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005",positive
"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience",positive
"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality",positive
"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service",positive
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market",negative
The negotiations will concern the plant 's department producing winded roving that employs 10 people,neutral
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd.",positive
"- Demand for fireplace products was lower than expected , especially in Germany",negative
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households",neutral
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM,neutral
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September",negative
"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group",positive
Underground parking facilities will also be built on the basement floor,neutral
"The guidance has been set at 90 basis points over mid-swaps , the report said",neutral
"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients",neutral
The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009,negative
Net sales surged by 30 % to EUR 36 million,positive
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households",neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100,negative
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data",neutral
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m",positive
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year",positive
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk,positive
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before",negative
"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes",positive
"However , the brokers ' ratings on the stock differ",neutral
"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material",neutral
The Finnish company claims to have over a quarter of a million contented Tulikivi fireplace business and homeowners worldwide,neutral
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in,negative
